	items.a	items.b	items.g	items.u	means	F
tickle	2.26417410268105	1.81118458990771	0	1	0	1
tiger	2.6432896362266	3.48058824337413	0	1	0	1
tights	2.6432896362266	3.48058824337413	0	1	0	1
time	2.72112882296327	0.015489182584746	0	1	0	1
tiny	2.95267907027251	0.883166378925786	0	1	0	1
tired	3.17626974236776	0.698948496045532	0	1	0	1
tissue	2.6432896362266	3.48058824337413	0	1	0	1
to	2.74636186202126	-1.18661530896182	0	1	0	1
toast	2.6432896362266	3.48058824337413	0	1	0	1
today	2.7995109799603	1.64584074169713	0	1	0	1
toe	2.6432896362266	3.48058824337413	0	1	0	1
tomorrow	2.21076394306166	1.43970122308158	0	1	0	1
tongue	2.82087728980725	0.890339426094172	0	1	0	1
tonight	2.52167085691324	1.36705482886966	0	1	0	1
too	1.59245816982135	0.639366520771379	0	1	0	1
tooth	2.6432896362266	3.48058824337413	0	1	0	1
toothbrush	2.6432896362266	3.48058824337413	0	1	0	1
touch	1.86569748277104	1.25590817760389	0	1	0	1
towel	2.6432896362266	3.48058824337413	0	1	0	1
toy	2.6432896362266	3.48058824337413	0	1	0	1
tractor	2.6432896362266	3.48058824337413	0	1	0	1
train	2.27694462384812	1.80612893663407	0	1	0	1
trash	3.00497608580968	1.29247365977486	0	1	0	1
tray	2.6432896362266	3.48058824337413	0	1	0	1
tree	2.52708985143945	1.36599804035911	0	1	0	1
tricycle	2.6432896362266	3.48058824337413	0	1	0	1
truck	2.6432896362266	3.48058824337413	0	1	0	1
tummy	2.6432896362266	3.48058824337413	0	1	0	1
tuna	2.6432896362266	3.48058824337413	0	1	0	1
turkey	2.6432896362266	3.48058824337413	0	1	0	1
turtle	2.27694462384812	1.80612893663407	0	1	0	1
uncle	2.6432896362266	3.48058824337413	0	1	0	1
under	2.51878497938978	0.0174628994724644	0	1	0	1
underpants	2.6432896362266	3.48058824337413	0	1	0	1
up	2.74905062298099	-0.662322792316724	0	1	0	1
us	3.15530258109507	-0.157685907921875	0	1	0	1
vacuum	2.91433137871859	0.185979690670074	0	1	0	1
vagina	3.26008924737554	1.05415422983593	0	1	0	1
vanilla	2.41638300265747	0.922200243443074	0	1	0	1
vitamins	2.6432896362266	3.48058824337413	0	1	0	1
vroom	2.6432896362266	3.48058824337413	0	1	0	1
wait	2.62822449346327	0.0162963268412976	0	1	0	1
wake	3.07215925391254	-0.660471907727474	0	1	0	1
walk	3.23607714180345	0.0128656428889344	0	1	0	1
walker	2.6432896362266	3.48058824337413	0	1	0	1
wash	2.79235804616665	1.64754817827306	0	1	0	1
we	3.09396786994667	-1.37510092125976	0	1	0	1
wet	2.28977794045378	0.936454676252985	0	1	0	1
what	3.03808494928781	-0.327108431181714	0	1	0	1
when	2.51437731061071	-0.835570779072561	0	1	0	1
where	3.04981497384154	-0.327154668850464	0	1	0	1
which	2.66946406079323	0.0159196012097057	0	1	0	1
white	2.02603875642978	0.205814265021972	0	1	0	1
who	2.22349662625993	-0.323925321746031	0	1	0	1
why	3.28771487729251	-0.158109390736287	0	1	0	1
wind	2.51679027157683	0.722779007798859	0	1	0	1
window	2.80286893788339	-0.156204689122418	0	1	0	1
windy	2.6432896362266	3.48058824337413	0	1	0	1
wipe	2.79219841838713	1.64758640558314	0	1	0	1
wish	1.64523390057061	1.33892861609503	0	1	0	1
with	2.74344418218774	-1.0033563859152	0	1	0	1
wolf	2.6432896362266	3.48058824337413	0	1	0	1
woods	3.46423981561635	0.355703438440396	0	1	0	1
write	2.54346218967875	0.0171765669840655	0	1	0	1
yard	2.26417410268105	1.81118458990771	0	1	0	1
yellow	1.75357551675619	1.03860564329298	0	1	0	1
yes	2.6432896362266	3.48058824337413	0	1	0	1
yesterday	2.6432896362266	3.48058824337413	0	1	0	1
yogurt	2.6432896362266	3.48058824337413	0	1	0	1
you	2.66057696937932	-1.00617862691804	0	1	0	1
your	2.8844611552839	-0.661358202629483	0	1	0	1
yourself	3.23607714180345	0.0128656428889344	0	1	0	1
yucky	2.6432896362266	3.48058824337413	0	1	0	1
zebra	2.6432896362266	3.48058824337413	0	1	0	1
zipper	2.6432896362266	3.48058824337413	0	1	0	1
zoo	1.93423323720092	1.53143138783181	0	1	0	1
